## throughput

| iter | t_sim | num_jobs | throughput |
|------|-------|----------|------------|
| 0    | 200   | 112      | 0.56       |
| 1    | 200   | 101      | 0.5        |
| 2    | 200   | 103      | 0.52       |
| 3    | 200   | 95       | 0.48       |
| 4    | 200   | 98       | 0.49       |
| 5    | 200   | 102      | 0.51       |
| 6    | 200   | 103      | 0.52       |
| 7    | 200   | 98       | 0.49       |
| 8    | 200   | 90       | 0.45       |
| 9    | 200   | 100      | 0.5        |
| 10   | 200   | 89       | 0.44       |

## utilization

| iter | t_sim | total_work | utilization |
|------|-------|------------|-------------|
| 0    | 200   | 198.88     | 0.99        |
| 1    | 200   | 198.31     | 0.99        |
| 2    | 200   | 198.84     | 0.99        |
| 3    | 200   | 191.91     | 0.96        |
| 4    | 200   | 199.97     | 1.0         |
| 5    | 200   | 198.59     | 0.99        |
| 6    | 200   | 188.39     | 0.94        |
| 7    | 200   | 189.8      | 0.95        |
| 8    | 200   | 191.77     | 0.96        |
| 9    | 200   | 174.66     | 0.87        |
| 10   | 200   | 180.84     | 0.9         |
